Station,lines,Borough,Rank,2013,2014,2015,2016,2017,2018,change
77 St,6,Manhattan,47,37182.0,37521.0,36797.0,36103.0,27584,25369,-2215
79 St,1,Manhattan,95,16576.0,16987.0,16865.0,16372.0,15698,15175,-523
8 St-New York    University,WR,Manhattan,80,16597.0,17248.0,17902.0,18305.0,16994,17192,198
81 St-Museum    of Natural History,CB,Manhattan,94,13663.0,13935.0,14129.0,14140.0,13313,15383,2070
86 St,1,Manhattan,73,19766.0,20221.0,20145.0,19757.0,18882,19325,443
86 St,654,Manhattan,20,64741.0,65634.0,65948.0,64793.0,45882,43169,-2713
86 St  *,CB,Manhattan,253,11236.0,11605.0,11594.0,11809.0,10681,6007,-4674
86 St,Q,Manhattan,46,,,,,23722,25455,1733
96 St,321,Manhattan,27,38711.0,39254.0,39434.0,38859.0,37043,36026,-1017
96 St,6,Manhattan,78,26232.0,26529.0,28060.0,26939.0,18983,17447,-1536
96 St,CB,Manhattan,162,9815.0,10203.0,10365.0,10425.0,9733,9924,191
96 St,Q,Manhattan,74,,,,,17150,19318,2168
Astor Place,6,Manhattan,86,17914.0,17803.0,17274.0,16806.0,16377,16031,-346
Bowery,ZJ,Manhattan,333,2743.0,3015.0,3325.0,3504.0,3715,3738,23
Bowling Green,54,Manhattan,34,30640.0,34830.0,31556.0,31522.0,29395,28646,-749
Broad St,ZJ,Manhattan,216,5635.0,6525.0,6865.0,7279.0,7130,7050,-80
Broadway-Lafayette    St    /Bleecker St,6MFDB,Manhattan,25,38799.0,40148.0,39724.0,39058.0,37986,36493,-1493
Brooklyn    Bridge-City Hall   /Chambers St,ZJ654,Manhattan,32,36680.0,37160.0,35858.0,34352.0,31804,30932,-872
Canal St,1,Manhattan,238,6039.0,6277.0,6275.0,6116.0,5996,6410,414
Canal St,ECA,Manhattan,67,19738.0,19974.0,20103.0,19660.0,19789,20424,635
Canal St,6ZWRQNJ,Manhattan,17,44696.0,44362.0,44409.0,45030.0,47601,47034,-567
Cathedral    Pkwy-110 St,1,Manhattan,124,13874.0,13630.0,13444.0,12926.0,12394,12526,132
Cathedral    Pkwy-110 St  *,CB,Manhattan,330,7117.0,7253.0,7490.0,7553.0,7523,3785,-3738
Central Park    North-110 St,32,Manhattan,174,9130.0,9559.0,9865.0,9855.0,9233,8815,-418
Chambers St,321,Manhattan,62,23147.0,23862.0,23997.0,23574.0,22419,21303,-1116
Chambers St  /WTC /Park Place,32ECA,Manhattan,9,58923.0,61076.0,66165.0,67906.0,70356,72396,2040
Christopher    St-Sheridan Sq,1,Manhattan,163,10076.0,10060.0,9898.0,9792.0,9570,9675,105
City Hall,WR,Manhattan,230,5666.0,4344.0,6310.0,6766.0,7731,6657,-1074
Delancey St /Essex St,ZMJF,Manhattan,49,23691.0,24154.0,24902.0,25625.0,24993,24562,-431
Dyckman St,1,Manhattan,218,6564.0,7112.0,7233.0,7297.0,7231,7002,-229
Dyckman St,A,Manhattan,235,6557.0,6687.0,6831.0,6874.0,6739,6477,-262
East Broadway,F,Manhattan,110,13276.0,13720.0,14228.0,14654.0,14365,13868,-497
Franklin St,1,Manhattan,256,5825.0,5867.0,5825.0,5984.0,5809,5943,134
Fulton St,5432ZJCA,Manhattan,5,64461.0,69444.0,74676.0,85440.0,91771,92990,1219
Grand    Central-42 St,7654S,Manhattan,2,153861.0,157899.0,160294.0,158580.0,154711,155345,634
Grand St,DB,Manhattan,53,23770.0,24153.0,24281.0,24649.0,24460,23422,-1038
Harlem-148 St,3,Manhattan,320,3790.0,3952.0,4096.0,4017.0,3899,4074,175
Houston St,1,Manhattan,88,15736.0,15878.0,15286.0,15333.0,15283,15698,415
Inwood-207 St,A,Manhattan,175,8866.0,9136.0,9317.0,9350.0,9217,8793,-424
Lexington Av  /59 St,654RWN,Manhattan,14,67841.0,69332.0,68988.0,67684.0,58467,55608,-2859
Lexington    Av-53 St  /51 St,6ME,Manhattan,10,69973.0,70606.0,70686.0,69750.0,66118,64499,-1619
Lexington    Av-63 St,QF,Manhattan,61,15404.0,15493.0,16098.0,16988.0,20893,21394,501
Marble    Hill-225 St,1,Manhattan,273,5456.0,5766.0,5732.0,5636.0,5473,5433,-40
Prince St,WR,Manhattan,105,15261.0,15404.0,15597.0,15424.0,14400,14408,8
Rector St,1,Manhattan,170,11323.0,10869.0,10625.0,9788.0,9453,9005,-448
Rector St,WR,Manhattan,212,5362.0,4127.0,6157.0,6524.0,7092,7185,93
Roosevelt    Island,F,Manhattan,214,6321.0,5998.0,6197.0,6630.0,7354,7153,-201
South Ferry /Whitehall St *,WR1,Manhattan,29,20405.0,23017.0,28809.0,29534.0,33019,33797,778
Spring St,6,Manhattan,144,12257.0,12327.0,11543.0,11390.0,11019,10822,-197
Spring St,EC,Manhattan,117,13136.0,13319.0,12914.0,12775.0,12360,13054,694
Times Sq-42    St        /42 St,ECA7321SWRQN,Manhattan,1,197696.0,204908.0,206247.0,202363.0,203545,204017,472
Wall St,32,Manhattan,52,26706.0,28075.0,27242.0,27291.0,26022,23968,-2054
Wall St,54,Manhattan,70,25078.0,25619.0,23595.0,22211.0,20420,19745,-675
West 4    St-Washington Sq,MFEDCBA,Manhattan,22,40798.0,41968.0,42760.0,42755.0,41835,40666,-1169
WTC Cortland  *,1,Manhattan,339,0.0,0.0,0.0,0.0,0,3558,3558
103 St-Corona Plaza,7,Queens,71,19216.0,19814.0,20044.0,20282.0,20101,19682,-419
104 St *,A,Queens,401,1736.0,1333.0,1890.0,2189.0,1900,1841,-59
104 St  *,ZJ,Queens,409,2575.0,2659.0,2710.0,2758.0,1727,1587,-140
111 St,7,Queens,138,10914.0,11091.0,11198.0,11421.0,11384,11091,-293
111 St *,A,Queens,381,2718.0,2815.0,2727.0,1947.0,2571,2596,25
111 St,J,Queens,373,2605.0,2596.0,2627.0,2607.0,3235,2819,-416
121 St  *,ZJ,Queens,412,2222.0,2397.0,2462.0,2500.0,1135,1354,219
169 St,F,Queens,188,9042.0,9106.0,9138.0,9016.0,8671,8109,-562
21 St *,G,Queens,405,1309.0,1265.0,1564.0,1735.0,1863,1757,-106
21    St-Queensbridge,F,Queens,143,8761.0,8914.0,9447.0,9779.0,10209,10840,631
30 Av  *,WN,Queens,184,14802.0,14897.0,14771.0,14739.0,11381,8286,-3095
33 St-Rawson    St,7,Queens,141,14246.0,14256.0,13604.0,13302.0,12429,11029,-1400
36 Av *,WN,Queens,285,7688.0,7577.0,7447.0,7347.0,5525,5073,-452
36 St,RM,Queens,281,4540.0,4597.0,4733.0,4776.0,4786,5177,391
39 Av-Dutch kills *,WN,Queens,387,3262.0,3504.0,3391.0,3207.0,3267,2356,-911
40 St-Lowery    St,7,Queens,161,11100.0,11211.0,11053.0,11089.0,10624,9954,-670
46 St,RM,Queens,177,9529.0,9608.0,9439.0,9362.0,9049,8752,-297
46 St-Bliss    St,7,Queens,118,14656.0,14634.0,14413.0,14335.0,13614,12828,-786
52 St,7,Queens,254,6830.0,6951.0,6888.0,6795.0,6495,6001,-494
63 Dr-Rego    Park,RM,Queens,92,16334.0,16771.0,16770.0,16868.0,16323,15574,-749
65 St,RM,Queens,337,3532.0,3647.0,3762.0,3747.0,3621,3601,-20
67 Av,RM,Queens,176,9475.0,9544.0,9548.0,9479.0,9181,8774,-407
69 St,7,Queens,301,5085.0,5128.0,4988.0,5072.0,4973,4679,-294
74-Bway /Jackson Hts-Roosevelt Av,RMFE7,Queens,15,50841.0,51285.0,51925.0,52296.0,52018,51766,-252
75 Av,FE,Queens,343,3763.0,3742.0,3756.0,3710.0,3365,3455,90
75 St-Elderts    Ln,ZJ,Queens,342,3759.0,3777.0,3837.0,3837.0,3641,3464,-177
80 St *,A,Queens,317,4291.0,4664.0,4445.0,3574.0,4416,4316,-100
82 St-Jackson    Hts,7,Queens,101,15662.0,15899.0,15711.0,15765.0,15393,14626,-767
85 St-Forest    Pkwy,J,Queens,334,3792.0,3860.0,3947.0,3968.0,3923,3699,-224
88 St  *,A,Queens,372,2719.0,2065.0,3464.0,3221.0,2965,2835,-130
90    St-Elmhurst Av,7,Queens,84,16743.0,16747.0,16814.0,16957.0,16848,16253,-595
Aqueduct    Racetrack,A,Queens,398,551.0,1597.0,1711.0,1739.0,1672,1901,229
Aqueduct-North    Conduit Av,A,Queens,417,1951.0,1122.0,1181.0,1125.0,1031,921,-110
Astoria Blvd,WN,Queens,104,12210.0,12209.0,12344.0,12358.0,13103,14425,1322
Astoria-Ditmars    Blvd,WN,Queens,89,17039.0,17178.0,17181.0,17345.0,16686,15663,-1023
Beach 105 St  *,SA,Queens,424,141.0,260.0,305.0,289.0,278,261,-17
Beach 25 St *,A,Queens,403,904.0,1722.0,1861.0,1968.0,1925,1792,-133
Beach 36 St *,A,Queens,418,466.0,872.0,936.0,975.0,962,887,-75
Beach 44 St *,A,Queens,420,297.0,581.0,624.0,676.0,690,693,3
Beach 60 St *,A,Queens,396,1317.0,2448.0,2501.0,2507.0,2319,2013,-306
Beach 67    St-Arverne By The Sea *,A,Queens,391,1118.0,2183.0,2407.0,2493.0,2440,2103,-337
Beach 90 St  *,SA,Queens,413,463.0,846.0,946.0,939.0,1110,1097,-13
Beach 98 St  *,SA,Queens,422,292.0,563.0,608.0,579.0,531,481,-50
Briarwood-Van    Wyck Blvd,FE,Queens,287,4664.0,4695.0,4876.0,5057.0,5061,4913,-148
Broad Channel  *,SA,Queens,423,127.0,251.0,310.0,313.0,302,285,-17
Broadway *,WN,Queens,179,13280.0,13515.0,13236.0,12957.0,13242,8473,-4769
Court Sq,7MGE,Queens,51,20446.0,22433.0,22717.0,23317.0,23672,23995,323
Elmhurst Av,RM,Queens,125,13597.0,13568.0,13588.0,13508.0,12967,12463,-504
Far    Rockaway-MottAv *,A,Queens,314,2651.0,4748.0,4989.0,5009.0,4738,4435,-303
Flushing-Main    St,7,Queens,13,60190.0,60252.0,60226.0,60259.0,58511,55669,-2842
Forest Av *,M,Queens,365,4103.0,4210.0,4386.0,4429.0,2819,3124,305
Forest    Hills-71 Av,RMFE,Queens,38,27728.0,27784.0,28209.0,28135.0,27760,26613,-1147
Fresh Pond Rd *,M,Queens,299,5333.0,5677.0,6002.0,6130.0,4223,4716,493
Grand    Av-Newtown,RM,Queens,75,18298.0,18413.0,18955.0,19373.0,18754,18489,-265
Howard    Beach-JFK Airport,A,Queens,348,4972.0,2835.0,3059.0,3011.0,3292,3376,84
Hunters Point    Av,7,Queens,210,6400.0,6666.0,6803.0,7292.0,7283,7205,-78
Jamaica    Center-Parsons-Archer,ZJE,Queens,26,41686.0,42261.0,42115.0,41603.0,39326,36368,-2958
Jamaica-179    St,F,Queens,60,23280.0,23093.0,23417.0,23121.0,22421,21452,-969
Jamaica-Van    Wyck,E,Queens,298,4992.0,5121.0,5092.0,5022.0,4972,4717,-255
Junction Blvd,7,Queens,64,20818.0,21116.0,21557.0,22051.0,21751,21100,-651
Kew    Gardens-Union Turnpike,FE,Queens,45,28289.0,27693.0,27558.0,27085.0,26493,25536,-957
Mets-Willets    Point,7,Queens,305,4675.0,4555.0,5244.0,5367.0,5028,4606,-422
Middle    Village-Metropolitan Av *,M,Queens,355,4092.0,4318.0,4489.0,4530.0,3064,3225,161
Northern Blvd,RM,Queens,224,7235.0,7431.0,7428.0,7413.0,7107,6904,-203
Ozone    Park-Lefferts Blvd,A,Queens,199,7476.0,7641.0,7732.0,8023.0,7722,7591,-131
Parsons Blvd,F,Queens,236,6463.0,6540.0,6640.0,6644.0,6593,6462,-131
Queens Plaza,RME,Queens,119,9696.0,10125.0,10475.0,10652.0,11369,12747,1378
Queensboro    Plaza,7WN,Queens,103,11132.0,11554.0,11786.0,12936.0,13502,14517,1015
Rockaway Blvd *,A,Queens,201,8662.0,8474.0,5690.0,7683.0,7786,7534,-252
Rockaway    Park-Beach 116 St  *,SA,Queens,419,379.0,677.0,747.0,727.0,683,696,13
Seneca Av *,M,Queens,402,2428.0,2545.0,2726.0,2832.0,1576,1818,242
Steinway St,RM,Queens,91,14769.0,14870.0,14895.0,14836.0,14867,15590,723
Sutphin Blvd,F,Queens,318,4932.0,4795.0,4851.0,4652.0,4496,4291,-205
Sutphin    Blvd-Archer Av-JFK Airport,ZJE,Queens,54,23012.0,23747.0,24349.0,24796.0,23843,23388,-455
Vernon    Blvd-Jackson Av,7,Queens,96,12610.0,14123.0,14819.0,15910.0,15781,15093,-688
Woodhaven    Blvd,ZJ,Queens,294,4576.0,4796.0,4940.0,4838.0,5104,4771,-333
Woodhaven    Blvd,RM,Queens,66,22276.0,22156.0,22220.0,22483.0,21879,20704,-1175
Woodside-61 St,7,Queens,83,16559.0,16807.0,17007.0,17236.0,16945,16501,-444
