Name,IMG,Official Bio,Description,Titles
Amy Klobuchar,https://images.c-span.org/Files/a20/20190701234340001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000367"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","[""Amy Jean Klobuchar is an American lawyer and politician who is the senior United States Senator from Minnesota, elected in 2006. A member of the Minnesota Democratic-Farmer-Labor Party, Minnesota's affiliate of the Democratic Party, she was previously Hennepin County Attorney. Wikipedia*"", 'On the C-SPAN Networks:Amy Klobuchar has 1,037 videos in the C-SPAN Video Library; the first appearance was a 2000 Statement as a County Attorney for the Hennepin County, MN. The year with the most videos was 2017 with 118 videos. Most appearances with Chuck Schumer (25), Debbie Stabenow (14), Bernie Sanders (13). Most common tags: Road to the White House, Democratic National Convention, Senate.']","['U.S. Senator, D-MN View Map', 'County Attorney, Hennepin County, MND']"
Seth W. Moulton,https://images.c-span.org/Files/608/20190623004010001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001196"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","[""Seth Wilbur Moulton is an American former Marine Corps officer and a Democratic member of the United States House of Representatives, representing Massachusetts's 6th congressional district. Wikipedia*"", 'On the C-SPAN Networks:Seth W. Moulton has 106 videos in the C-SPAN Video Library; the first appearance was a 2015 House Proceeding. The year with the highest average number of views per program was 2017 with an average of 2,193 views per program. Most appearances with Tim Ryan (4), Mark A. Takano (3), Jan Schakowsky (3). Most common tags: House of Representatives, Road to the White House, Presidential Nomination.']","['U.S. Representative, D-MA 6th View Map']"
Beto O'Rourke,https://images.c-span.org/Files/bad/20190702194652001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000170"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","['Robert Francis ""Beto"" O\'Rourke is an American businessman, musician, and politician of the Democratic Party who represented Texas\'s 16th congressional district for three terms in the United States House of Representatives. Wikipedia*', ""On the C-SPAN Networks:Beto O'Rourke has 189 videos in the C-SPAN Video Library; the first appearance was a 2013 Ceremony. The year with the highest average number of views per program was 2018 with an average of 3,594 views per program. Most appearances with Amy Klobuchar (6), Tim Ryan (6), Sheila Jackson Lee (5). Most common tags: Road to the White House, Election 2020, Immigration.""]","['U.S. Representative, D-TX 16th View Map', 'U.S. Senate Candidate, D-Texas', 'U.S. Representative Candidate, D-16']"
Tim Ryan,https://images.c-span.org/Files/9a4/20190623002628001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000577"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","[""On the C-SPAN Networks:Tim Ryan has 436 videos in the C-SPAN Video Library; the first appearance was a 2003 House Proceeding as a Democratic Representative for Ohio's 17th district. The year with the most videos was 2005 with 52 videos. The year with the highest average number of views per program was 2009 with an average of 4,980 views per program. Most appearances with Dan Kildee (7), Beto O'Rourke (6), Eric Swalwell (6). Most common tags: Democratic Party, Road to the White House, House of Representatives.""]","['U.S. Representative, D-OH 13th View Map', 'U.S. Representative, D-OH 17th View Map']"
Bernie Sanders,https://images.c-span.org/Files/6d9/20190622232004001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000033"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","['Bernard Sanders is an American politician serving as the junior United States Senator from Vermont since 2007. The longest-serving Independent in congressional history, he was first elected to the U.S. House of Representatives in 1990 and caucuses with the Democratic Party, enabling his appointment to congressional committees and at times giving Democrats a majority. Wikipedia*', 'On the C-SPAN Networks:Bernie Sanders has 1,415 videos in the C-SPAN Video Library; the first appearance was a 1986 Call-In as a Mayor. The year with the most videos was 2009 with 103 videos. The year with the highest average number of views per program was 1989 with an average of 60,511 views per program. Most appearances with Chuck Schumer (20), Nancy Pelosi (16), Barbara Lee (13). Most common tags: Road to the White House, Sanders, Democratic Party.']","['U.S. Senator, I-VT View Map', 'U.S. Senator-Elect, I-Vermont', 'U.S. Representative, I-VT View Map', 'Mayor']"
Joe Sestak Jr.,https://images.c-span.org/Files/17e/20181021132647002_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001169"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","['Joseph Ambrose ""Joe"" Sestak, Jr. is an American politician and retired U.S. Navy officer. Wikipedia*', 'On the C-SPAN Networks:Joe Sestak Jr. has 124 videos in the C-SPAN Video Library; the first appearance was a 2006 Speech as a U.S. Representative Candidate for Pennsylvania. The year with the most videos was 2007 with 54 videos. The year with the highest average number of views per program was 2009 with an average of 6,006 views per program. Most appearances with Susan Swain (4), Arlen Specter (2), Patrick Toomey (2). Most common tags: Pennsylvania, Iraq Occupation/Reconstruction (05/02/03-08/31/10), Democratic Party.']","['Vice Admiral, U.S. Navy', 'U.S. Representative, D-PA 7th View Map', 'U.S. Representative Candidate, PennsylvaniaD', 'U.S. Representative-Elect, PennsylvaniaD']"
Eric Swalwell,https://images.c-span.org/Files/d6f/20190622234558001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001193"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","[""Eric Michael Swalwell Jr. is an American politician from California, who serves as the U.S. Representative from California's 15th congressional district. Wikipedia*"", 'On the C-SPAN Networks:Eric Swalwell has 194 videos in the C-SPAN Video Library; the first appearance was a 2013 House Proceeding. The year with the highest average number of views per program was 2018 with an average of 15,929 views per program. Most appearances with Nancy Pelosi (9), Sheila Jackson Lee (7), Jan Schakowsky (7). Most common tags: Russia Election Interference Investigation, Road to the White House, Presidential Nomination.']","['U.S. Representative, D-CA 15th View Map', 'U.S. Representative Candidate, D-15']"
Elizabeth Warren,https://images.c-span.org/Files/904/20190629211346001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000817"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","['Elizabeth Ann Warren is an American politician and academic serving as the senior United States Senator from Massachusetts since 2013. Warren was formerly a prominent scholar specializing in bankruptcy law. Wikipedia*', 'On the C-SPAN Networks:Elizabeth Warren has 518 videos in the C-SPAN Video Library; the first appearance was a 2007 Senate Committee as a Professor for the Harvard Law School. The year with the most videos was 2017 with 131 videos. The year with the highest average number of views per program was 2011 with an average of 23,014 views per program as a Special Adviser for the Consumer Financial Protection Bureau in the Department of the Treasury']","['U.S. Senator, D-MA View Map', 'Professor, Harvard Law School', 'Chair, Troubled Asset Relief Program Oversight Panel', 'U.S. Senate Candidate, D-Massachusetts', 'Special Adviser, Consumer Financial Protection Bureau, Department of the Treasury']"
Marianne Williamson,https://images.c-span.org/Files/266/20190622222152001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,,"[""On the C-SPAN Networks:Marianne Williamson is an Author with nine videos in the C-SPAN Video Library; the first appearance was a 1997 Speech. The year with the most videos was 2019 with six videos. Most appearances with Jay Inslee (4), John K. Delaney (4), Beto O'Rourke (4). Most common tags: Presidential Nomination, Roe v. Wade, Abortion.""]",['Author']
Andrew Yang,https://images.c-span.org/Files/876/20190622233210001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,,"['On the C-SPAN Networks:Andrew Yang is a Founder and CEO for the Venture for America with 10 videos in the C-SPAN Video Library; the first appearance was a 2015 Speech. The year with the most videos was 2019 with seven videos. Most appearances with Jay Inslee (5), Bernie Sanders (3), Marianne Williamson (3). Most common tags: Road to the White House, Presidential Nomination, Election 2020.']","['Founder and CEO, Venture for America', 'Author']"
Bill de Blasio Jr.,https://images.c-span.org/Files/506/20190624232004001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,,"['On the C-SPAN Networks:Bill de Blasio Jr. is a Mayor for the New York, NY with 21 videos in the C-SPAN Video Library; the first appearance was a 2009 Rally as a Member for City Council in the New York, NY']","['Mayor, New York, NYD', 'Public Advocate, New York, NY', 'Member, City CouncilD']"
