Station,lines,Borough,Rank,2013,2014,2015,2016,2017,2018,17-18 change
Pelham Bay    Park,6,The Bronx,219,2096130.0,2318533.0,2337689.0,2208725.0,2207720.0,2146552,-61168.0
Pelham Pkwy,52,The Bronx,178,3028494.0,3084862.0,3066190.0,2955589.0,2849210.0,2639586,-209624.0
Pelham Pkwy,5,The Bronx,373,919689.0,907735.0,894727.0,897374.0,869177.0,844884,-24293.0
Prospect Av,52,The Bronx,220,2311798.0,2445131.0,2394820.0,2513169.0,2413743.0,2142697,-271046.0
Simpson St,52,The Bronx,182,3027856.0,3121036.0,3048014.0,3046838.0,2965807.0,2585974,-379833.0
St Lawrence    Av,6,The Bronx,320,1280074.0,1315456.0,1320571.0,1329758.0,1334387.0,1273609,-60778.0
Tremont Av,DB,The Bronx,152,2952385.0,3130848.0,3155197.0,3213396.0,3154608.0,3246064,91456.0
Van Cortlandt    Park-242 St,1,The Bronx,199,2148667.0,2188428.0,2266986.0,2294482.0,2249314.0,2333136,83822.0
Wakefield-241    St,2,The Bronx,298,1528793.0,1669608.0,1654707.0,1662337.0,1578125.0,1484478,-93647.0
West Farms    Sq-East Tremont Av,52,The Bronx,225,2514240.0,2567773.0,2437882.0,2465907.0,2388659.0,2094751,-293908.0
Westchester    Sq-East Tremont Av,6,The Bronx,256,2043649.0,2177402.0,2056555.0,1952473.0,1917007.0,1817925,-99082.0
Whitlock Av,6,The Bronx,399,534489.0,543798.0,545079.0,571352.0,595385.0,592103,-3282.0
Woodlawn,4,The Bronx,217,2423278.0,2375663.0,2418890.0,2380900.0,2242100.0,2160859,-81241.0
Zerega Av,6,The Bronx,380,985388.0,599478.0,492883.0,784314.0,799739.0,792928,-6811.0
15    St-Prospect Park,GF,Brooklyn,252,2005424.0,2017347.0,2011237.0,1958444.0,1917454.0,1867619,-49835.0
18 Av,D,Brooklyn,245,1954729.0,1996205.0,1925239.0,2003777.0,1948610.0,1909554,-39056.0
18 Av,F,Brooklyn,330,1313344.0,1277024.0,1392552.0,1344286.0,1281041.0,1163390,-117651.0
18 Av,N,Brooklyn,358,1641928.0,1775695.0,1784992.0,723187.0,992834.0,981261,-11573.0
20 Av,D,Brooklyn,287,1547029.0,1564060.0,1592525.0,1656437.0,1579804.0,1534396,-45408.0
20 Av,N,Brooklyn,340,1286961.0,1305487.0,1279525.0,409416.0,664120.0,1075077,410957.0
25 Av,D,Brooklyn,282,1421090.0,1488192.0,1508412.0,1992945.0,1789365.0,1571134,-218231.0
25 St,R,Brooklyn,333,1218842.0,1274939.0,1221949.0,1188884.0,1373521.0,1149469,-224052.0
36 St,RND,Brooklyn,109,3826400.0,3970318.0,4138929.0,4235509.0,4543305.0,4293364,-249941.0
4 Av  /9    St,RGF,Brooklyn,122,4210873.0,4120946.0,4199208.0,4138758.0,4323467.0,3906028,-417439.0
45 St,R,Brooklyn,207,2251217.0,2323521.0,2321241.0,2228315.0,2390684.0,2251921,-138763.0
50 St,D,Brooklyn,361,1021409.0,1009971.0,968612.0,1012356.0,986060.0,965643,-20417.0
53 St,R,Brooklyn,196,2387370.0,2405353.0,2374338.0,2334471.0,1187907.0,2378056,1190149.0
55 St,D,Brooklyn,392,601931.0,603320.0,595157.0,665488.0,632198.0,650590,18392.0
59 St,RN,Brooklyn,120,3968334.0,4094658.0,4158863.0,4169280.0,5326789.0,3998207,-1328582.0
7 Av,QB,Brooklyn,159,2905400.0,2932926.0,2980366.0,2943272.0,3236816.0,3126475,-110341.0
7 Av,GF,Brooklyn,135,3904986.0,3886594.0,3780126.0,3700321.0,3623053.0,3572223,-50830.0
71 St,D,Brooklyn,265,1446020.0,1481633.0,1487929.0,2029479.0,1854361.0,1746966,-107395.0
77 St,R,Brooklyn,270,1645262.0,1711410.0,1723178.0,1743795.0,1980011.0,1676402,-303609.0
79 St,D,Brooklyn,247,1949861.0,2041896.0,2043471.0,2137349.0,2032937.0,1901043,-131894.0
8 Av,N,Brooklyn,129,3677764.0,3851372.0,3796909.0,4586559.0,4088721.0,3700661,-388060.0
86 St,N,Brooklyn,397,801109.0,837472.0,859293.0,419039.0,494456.0,609555,115099.0
86 St,R,Brooklyn,140,3662602.0,3753132.0,3747601.0,3752400.0,3516712.0,3470741,-45971.0
9 Av,D,Brooklyn,271,1896942.0,1938987.0,1843944.0,1858368.0,1737192.0,1667200,-69992.0
Alabama Av,J,Brooklyn,391,770075.0,784998.0,814578.0,834945.0,755935.0,652030,-103905.0
Atlantic Av,L,Brooklyn,401,482835.0,535041.0,422505.0,436300.0,557103.0,559411,2308.0
Atlantic    Av-Barclays Ctr,5432RQNDB,Brooklyn,19,13122876.0,13617153.0,13690678.0,13818168.0,13571093.0,13807282,236189.0
Avenue H,Q,Brooklyn,346,875106.0,896279.0,899662.0,952855.0,1006747.0,1034018,27271.0
Avenue I,F,Brooklyn,414,699582.0,696140.0,672710.0,585217.0,326469.0,326005,-464.0
Avenue J,Q,Brooklyn,251,1867576.0,1850087.0,1848674.0,1867727.0,1912497.0,1878547,-33950.0
Avenue M,Q,Brooklyn,257,1730576.0,1731955.0,1733583.0,1776762.0,1828941.0,1808189,-20752.0
Avenue N,F,Brooklyn,396,1044429.0,1050916.0,1027713.0,941921.0,643200.0,612201,-30999.0
Avenue P,F,Brooklyn,408,861095.0,864424.0,858733.0,809816.0,534727.0,509036,-25691.0
Avenue U,F,Brooklyn,415,717486.0,699414.0,716715.0,772331.0,373322.0,310821,-62501.0
Avenue U,N,Brooklyn,375,1211062.0,1251276.0,1253349.0,456533.0,734714.0,830278,95564.0
Avenue U,Q,Brooklyn,200,2176073.0,2175035.0,2231577.0,2332985.0,2360833.0,2329614,-31219.0
Avenue X,F,Brooklyn,381,908520.0,892170.0,589962.0,727220.0,738274.0,775436,37162.0
Bay 50 St,D,Brooklyn,376,847843.0,884302.0,872953.0,972937.0,900508.0,826074,-74434.0
Bay Pkwy,D,Brooklyn,195,2298420.0,2362284.0,2368617.0,2578524.0,2502105.0,2435949,-66156.0
Bay Pkwy,F,Brooklyn,421,487308.0,478322.0,460536.0,406793.0,214153.0,188225,-25928.0
Bay Pkwy,N,Brooklyn,203,2243082.0,2342792.0,2298369.0,3435240.0,2950253.0,2266916,-683337.0
Bay Ridge Av,R,Brooklyn,211,2525470.0,2597559.0,2623309.0,2622438.0,1282256.0,2228497,946241.0
Bay Ridge-95    St,R,Brooklyn,267,1830193.0,1858200.0,1865038.0,1853049.0,1755379.0,1739178,-16201.0
Bedford Av,L,Brooklyn,33,9214395.0,9892516.0,9388289.0,9688560.0,9644831.0,9053980,-590851.0
Bedford-Nostrand    Avs,G,Brooklyn,174,2348998.0,2513681.0,2634066.0,2697942.0,2779124.0,2774993,-4131.0
Bergen St,32,Brooklyn,334,1296199.0,1236513.0,1210571.0,1231084.0,1180684.0,1140677,-40007.0
Bergen St,GF,Brooklyn,139,3650848.0,3711317.0,3708300.0,3599389.0,3525144.0,3478946,-46198.0
Beverley Rd,Q,Brooklyn,343,737652.0,838970.0,899663.0,953903.0,1038252.0,1060568,22316.0
Beverly Rd,52,Brooklyn,316,1364573.0,1360719.0,1392643.0,1379958.0,1348244.0,1307405,-40839.0
Brighton    Beach,QB,Brooklyn,128,3810743.0,3872092.0,4014831.0,4044514.0,3957811.0,3778194,-179617.0
Broadway,G,Brooklyn,307,1071877.0,1124407.0,1313362.0,1397227.0,1385797.0,1402102,16305.0
Broadway    Junction,ZLJCA,Brooklyn,171,2948156.0,3018656.0,3133658.0,3085401.0,2911532.0,2810636,-100896.0
Bushwick    Av-Aberdeen St,L,Brooklyn,387,490042.0,563577.0,598393.0,672880.0,682086.0,671545,-10541.0
Canarsie-Rockaway    Pkwy,L,Brooklyn,133,4062690.0,4175970.0,4024313.0,3897784.0,3828628.0,3598843,-229785.0
Carroll St,GF,Brooklyn,138,3782675.0,3616947.0,3672702.0,3563150.0,3537661.0,3490924,-46737.0
Central Av,M,Brooklyn,386,505757.0,970531.0,1141731.0,1158274.0,539681.0,725022,185341.0
Chauncey St,ZJ,Brooklyn,341,938803.0,959091.0,1045698.0,1092483.0,1095638.0,1063828,-31810.0
Church Av,52,Brooklyn,170,3059215.0,3020066.0,3070551.0,3027658.0,2916680.0,2818535,-98145.0
Church Av,QB,Brooklyn,82,5603898.0,5482093.0,5707573.0,5438775.0,5455527.0,5161293,-294234.0
Church Av,GF,Brooklyn,160,3193844.0,3201585.0,3353795.0,3315387.0,3148411.0,3099383,-49028.0
Clark St,32,Brooklyn,283,1972314.0,2018876.0,1997148.0,2000024.0,1631139.0,1550414,-80725.0
Classon Av,G,Brooklyn,273,1432872.0,1477256.0,1604508.0,1581663.0,1585121.0,1649340,64219.0
Cleveland St,J,Brooklyn,368,1050261.0,1107397.0,1120403.0,1104683.0,1011734.0,901928,-109806.0
Clinton-Washington    Avs,C,Brooklyn,216,2104035.0,2077312.0,2060200.0,2152345.0,2201880.0,2178439,-23441.0
Clinton-Washington    Avs,G,Brooklyn,286,1678004.0,1652336.0,1716023.0,1656058.0,1551042.0,1534802,-16240.0
Coney    Island-Stillwell Av,QNFD,Brooklyn,100,4690794.0,4980140.0,5132083.0,5025598.0,4803755.0,4615664,-188091.0
Cortelyou Rd,Q,Brooklyn,236,1700177.0,1806758.0,1961144.0,1978254.0,2028859.0,1994734,-34125.0
Court St   /Borough Hall,5432R,Brooklyn,28,11291705.0,11474717.0,11360058.0,11080334.0,10693598.0,10364534,-329064.0
Crescent St,ZJ,Brooklyn,299,1509290.0,1583134.0,1626727.0,1617730.0,1570485.0,1467166,-103319.0
Crown    Heights-Utica Av,43,Brooklyn,46,8534705.0,8690082.0,8965908.0,9051970.0,8954499.0,7920192,-1034307.0
Cypress Hills,J,Brooklyn,411,432557.0,450480.0,452936.0,462143.0,435855.0,411331,-24524.0
DeKalb Av,RQB,Brooklyn,59,5223608.0,5288037.0,5373388.0,5640329.0,6551184.0,6776248,225064.0
DeKalb Av,L,Brooklyn,119,3712102.0,3924836.0,3938538.0,4017076.0,4171610.0,4000252,-171358.0
Ditmas Av,F,Brooklyn,332,1455737.0,1437835.0,1033946.0,1055185.0,1137998.0,1149528,11530.0
East 105 St,L,Brooklyn,335,1161688.0,1197125.0,1187844.0,1201578.0,1201452.0,1139556,-61896.0
Eastern    Pkwy-Brooklyn Museum,32,Brooklyn,284,1674856.0,1665524.0,1676659.0,1585048.0,1530635.0,1544013,13378.0
Euclid Av,CA,Brooklyn,157,3323235.0,3315007.0,3509500.0,3458027.0,3415739.0,3174827,-240912.0
Flatbush    Av-Brooklyn College,52,Brooklyn,73,6562226.0,6447908.0,6487608.0,6321530.0,6107780.0,5822873,-284907.0
Flushing Av,G,Brooklyn,370,728668.0,808421.0,866803.0,877269.0,849840.0,874498,24658.0
