Station,lines,Borough,Rank,2013,2014,2015,2016,2017,2018
Canal St,ECA,Manhattan,80,16622.0,17158.0,16478.0,13617.0,16742,17819
Canal St,6ZWRQNJ,Manhattan,9,70691.0,69891.0,69347.0,69319.0,76893,74070
Cathedral    Pkwy-110 St,1,Manhattan,98,18818.0,15081.0,15655.0,15761.0,14588,15269
Cathedral    Pkwy-110 St  *,CB,Manhattan,322,8988.0,9270.0,8577.0,7851.0,8562,3673
Central Park    North-110 St,32,Manhattan,145,11087.0,12384.0,12369.0,11542.0,11292,10634
Chambers St,321,Manhattan,123,16085.0,16750.0,17656.0,17555.0,14348,12837
Chambers St  /WTC /Park Place,32ECA,Manhattan,12,41395.0,37342.0,50939.0,55875.0,56454,59443
Christopher    St-Sheridan Sq,1,Manhattan,94,16017.0,16989.0,15634.0,14890.0,14050,15755
City Hall,WR,Manhattan,304,2167.0,892.0,4077.0,4685.0,5505,4183
Delancey St /Essex St,ZMJF,Manhattan,31,31807.0,32364.0,34843.0,35416.0,32713,30810
Dyckman St,1,Manhattan,176,7683.0,8877.0,8645.0,10010.0,9052,8845
Dyckman St,A,Manhattan,213,8140.0,8366.0,9296.0,6925.0,8253,7139
East Broadway,F,Manhattan,129,15077.0,16041.0,17418.0,18482.0,14803,12494
Franklin St,1,Manhattan,294,4093.0,4656.0,4617.0,4762.0,4171,4544
Fulton St,5432ZJCA,Manhattan,8,42662.0,44299.0,48634.0,61805.0,64620,74524
Grand    Central-42 St,7654S,Manhattan,4,105452.0,108091.0,109137.0,104291.0,103578,103993
Grand St,DB,Manhattan,58,35565.0,36238.0,33632.0,29977.0,26192,22469
Harlem-148 St,3,Manhattan,327,3777.0,3745.0,4157.0,3597.0,4025,3564
Houston St,1,Manhattan,168,9365.0,9686.0,9088.0,8717.0,8341,9224
Inwood-207 St,A,Manhattan,156,11856.0,12130.0,12944.0,9526.0,11110,10182
Lexington Av  /59 St,654RWN,Manhattan,17,74118.0,72247.0,71184.0,68953.0,56014,51768
Lexington    Av-53 St  /51 St,6ME,Manhattan,23,45260.0,46802.0,45716.0,39505.0,39678,40095
Lexington    Av-63 St,QF,Manhattan,74,9928.0,9863.0,11517.0,13089.0,20030,19510
Marble    Hill-225 St,1,Manhattan,259,6079.0,6879.0,6343.0,6137.0,6168,5578
Prince St,WR,Manhattan,38,24428.0,25668.0,26154.0,25371.0,24575,27362
Rector St,1,Manhattan,179,9328.0,11503.0,6098.0,5566.0,8509,8725
Rector St,WR,Manhattan,246,2917.0,1252.0,6066.0,6972.0,7654,6003
Roosevelt    Island,F,Manhattan,190,6123.0,6200.0,7100.0,7677.0,9005,8135
South Ferry /Whitehall St *,WR1,Manhattan,32,17996.0,22932.0,25555.0,26858.0,33326,30605
Spring St,6,Manhattan,87,18557.0,19054.0,15934.0,16329.0,16643,16649
Spring St,EC,Manhattan,160,9874.0,10639.0,9150.0,8974.0,9190,9871
Times Sq-42    St        /42 St,ECA7321SWRQN,Manhattan,1,242742.0,251718.0,253004.0,234830.0,239225,240645
Wall St,32,Manhattan,225,12562.0,12869.0,13262.0,13671.0,6268,6662
Wall St,54,Manhattan,140,15682.0,16810.0,12913.0,8953.0,9579,11423
West 4    St-Washington Sq,MFEDCBA,Manhattan,14,58299.0,60412.0,60441.0,56440.0,59543,57400
WTC Cortland  *,1,Manhattan,241,0.0,0.0,0.0,0.0,0,6274
103 St-Corona Plaza,7,Queens,53,26098.0,25974.0,26056.0,24283.0,25432,23972
104 St *,A,Queens,403,1350.0,887.0,1014.0,1232.0,1425,1470
104 St  *,ZJ,Queens,411,2251.0,2763.0,2774.0,2686.0,1123,951
111 St,7,Queens,105,15183.0,15279.0,15536.0,15324.0,15140,14376
111 St *,A,Queens,389,1902.0,1558.0,1303.0,1192.0,1754,1872
111 St,J,Queens,402,2130.0,2594.0,2630.0,2566.0,2296,1523
121 St  *,ZJ,Queens,413,2249.0,2861.0,2973.0,2872.0,858,849
169 St,F,Queens,196,9758.0,9811.0,9757.0,8924.0,7789,7944
21 St *,G,Queens,390,1636.0,1958.0,2488.0,2528.0,2252,1850
21    St-Queensbridge,F,Queens,148,7288.0,7510.0,8754.0,9460.0,10350,10606
30 Av  *,WN,Queens,284,18570.0,18683.0,18131.0,17197.0,10161,4773
33 St-Rawson    St,7,Queens,303,5153.0,4964.0,4690.0,4650.0,4682,4223
36 Av *,WN,Queens,356,9308.0,9385.0,9180.0,8650.0,5084,2811
36 St,RM,Queens,326,2269.0,2525.0,2499.0,2545.0,2705,3615
39 Av-Dutch kills *,WN,Queens,407,3346.0,3884.0,3813.0,3631.0,2733,1218
40 St-Lowery    St,7,Queens,165,12069.0,11750.0,11090.0,10421.0,10309,9434
46 St,RM,Queens,174,10818.0,10555.0,10187.0,9461.0,8857,8893
46 St-Bliss    St,7,Queens,103,18380.0,17715.0,16827.0,16110.0,15447,14549
52 St,7,Queens,231,8112.0,8108.0,7725.0,7252.0,6885,6524
63 Dr-Rego    Park,RM,Queens,102,17836.0,18386.0,17915.0,16777.0,15512,14831
65 St,RM,Queens,314,4122.0,4223.0,4289.0,4144.0,3661,3890
67 Av,RM,Queens,226,7467.0,7743.0,7778.0,7163.0,6692,6615
69 St,7,Queens,251,6901.0,6941.0,6557.0,6362.0,6186,5844
74-Bway /Jackson Hts-Roosevelt Av,RMFE7,Queens,10,71930.0,73919.0,73373.0,72305.0,70841,69953
75 Av,FE,Queens,366,3647.0,3276.0,3307.0,2857.0,2554,2587
75 St-Elderts    Ln,ZJ,Queens,386,3297.0,3854.0,4013.0,3816.0,2588,1995
80 St *,A,Queens,301,3984.0,5915.0,6203.0,3405.0,4101,4285
82 St-Jackson    Hts,7,Queens,76,21133.0,20557.0,20622.0,19491.0,20237,18651
85 St-Forest    Pkwy,J,Queens,377,3500.0,4207.0,4297.0,4113.0,2867,2193
88 St  *,A,Queens,372,2128.0,1599.0,2316.0,2386.0,2335,2462
90    St-Elmhurst Av,7,Queens,69,22890.0,22235.0,22079.0,20866.0,21543,20287
Aqueduct    Racetrack,A,Queens,295,1325.0,4054.0,4297.0,4211.0,3884,4521
Aqueduct-North    Conduit Av,A,Queens,418,3627.0,1308.0,1185.0,1016.0,860,764
Astoria Blvd,WN,Queens,157,15715.0,14815.0,14410.0,13659.0,12273,10175
Astoria-Ditmars    Blvd,WN,Queens,153,19697.0,19227.0,19057.0,18533.0,14759,10218
Beach 105 St  *,SA,Queens,423,229.0,297.0,374.0,396.0,462,434
Beach 25 St *,A,Queens,401,674.0,1479.0,1753.0,1806.0,1699,1600
Beach 36 St *,A,Queens,412,443.0,921.0,1056.0,1037.0,973,900
Beach 44 St *,A,Queens,419,284.0,612.0,698.0,721.0,709,730
Beach 60 St *,A,Queens,380,1286.0,2702.0,2977.0,2810.0,2468,2141
Beach 67    St-Arverne By The Sea *,A,Queens,373,1323.0,2642.0,3371.0,3189.0,3093,2447
Beach 90 St  *,SA,Queens,396,1401.0,1646.0,1609.0,1751.0,2344,1780
Beach 98 St  *,SA,Queens,421,474.0,1011.0,1025.0,1023.0,799,566
Briarwood-Van    Wyck Blvd,FE,Queens,313,4417.0,4242.0,4354.0,4126.0,3718,3893
Broad Channel  *,SA,Queens,424,84.0,191.0,234.0,210.0,204,178
Broadway *,WN,Queens,271,17411.0,17790.0,17142.0,16276.0,12922,5190
Court Sq,7MGE,Queens,67,16214.0,17776.0,17591.0,16026.0,18322,20649
Elmhurst Av,RM,Queens,114,16028.0,16519.0,16279.0,14896.0,13572,13269
Far    Rockaway-MottAv *,A,Queens,296,2355.0,5030.0,5569.0,5345.0,4846,4501
Flushing-Main    St,7,Queens,11,68974.0,69065.0,68232.0,70714.0,70807,66311
Forest Av *,M,Queens,374,2423.0,3008.0,3678.0,3421.0,1424,2428
Forest    Hills-71 Av,RMFE,Queens,49,27914.0,27854.0,27174.0,25846.0,31485,24710
Fresh Pond Rd,M,Queens,323,3188.0,4273.0,5103.0,4919.0,2230,3661
Grand    Av-Newtown,RM,Queens,77,21480.0,21475.0,21443.0,20303.0,18805,18477
Howard    Beach-JFK Airport,A,Queens,266,6509.0,4349.0,4740.0,4365.0,5145,5348
Hunters Point    Av,7,Queens,395,1542.0,1738.0,2150.0,2523.0,2765,1782
Jamaica    Center-Parsons-Archer,ZJE,Queens,43,34680.0,37145.0,34737.0,34062.0,29466,26010
Jamaica-179    St,F,Queens,101,17318.0,17249.0,17197.0,16265.0,14061,14885
Jamaica-Van    Wyck,E,Queens,262,5422.0,5200.0,4532.0,4672.0,5407,5544
Junction Blvd,7,Queens,36,27840.0,28848.0,28900.0,29702.0,28592,28045
Kew    Gardens-Union Turnpike,FE,Queens,63,25970.0,24147.0,24732.0,22088.0,19813,21768
Mets-Willets    Point,7,Queens,147,12709.0,12295.0,14507.0,11209.0,10608,10624
Middle    Village-Metropolitan Av *,M,Queens,371,2900.0,3733.0,4030.0,3868.0,1753,2469
Northern Blvd,RM,Queens,243,7285.0,7304.0,7178.0,6821.0,6133,6240
Ozone    Park-Lefferts Blvd,A,Queens,223,6568.0,5764.0,4545.0,5538.0,6307,6688
Parsons Blvd,F,Queens,227,7174.0,7096.0,7420.0,6736.0,5905,6593
Queens Plaza,RME,Queens,133,7189.0,7987.0,8111.0,7574.0,9040,11905
Queensboro    Plaza,7WN,Queens,46,13610.0,15734.0,14352.0,14891.0,20654,25672
Rockaway Blvd *,A,Queens,201,7903.0,7630.0,5142.0,7763.0,7211,7694
Rockaway    Park-Beach 116 St  *,SA,Queens,408,703.0,1053.0,1137.0,1167.0,1091,1094
Seneca Av *,M,Queens,388,1653.0,1957.0,2712.0,2410.0,930,1899
Steinway St,RM,Queens,68,19118.0,18764.0,18200.0,16851.0,17555,20427
Sutphin Blvd,F,Queens,315,5397.0,4502.0,4959.0,4134.0,3570,3885
Sutphin    Blvd-Archer Av-JFK Airport,ZJE,Queens,52,26184.0,28862.0,28383.0,28587.0,25234,24020
Vernon    Blvd-Jackson Av,7,Queens,135,9491.0,10347.0,12582.0,14981.0,14901,11858
Woodhaven    Blvd,ZJ,Queens,354,4255.0,5226.0,5388.0,5099.0,3884,2820
Woodhaven    Blvd,RM,Queens,54,27194.0,27105.0,26745.0,25550.0,23929,22672
Woodside-61 St,7,Queens,73,20432.0,19669.0,20127.0,20360.0,21067,19796
