line_number,msg,filename,Jurisdiction,A.O. Number,Judge,Attorney General or Designee,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
11874,"Expected 28 columns, found 30 columns",2014-sheet-0.csv,"ALABAMA, NORTHERN",2013-29,BOWDRE,O'BRIEN,NARCOTICS,WC,D,41367.0,30,0,30,INSTALLED AND USED,29.0,431.0,151.0,12499.0,269.0,35678.0,2178.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2013-25,2013,29
11875,"Expected 28 columns, found 30 columns",2014-sheet-0.csv,"ALABAMA, NORTHERN",2013-30,COOGLER,BLANCO,NARCOTICS,WC,D,41382.0,30,0,30,INSTALLED AND USED,29.0,67.0,42.0,1945.0,277.0,63386.0,1286.0,6.0,1.0,0.0,1.0,0.0,1.0,,,2013,30
11876,"Expected 28 columns, found 30 columns",2014-sheet-0.csv,"ALABAMA, NORTHERN",2013-31,COOGLER,BLANCO,NARCOTICS,WC,D,41390.0,30,0,30,INSTALLED AND USED,13.0,14.0,8.0,185.0,67.0,16971.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2013-30,2013,31
11877,"Expected 28 columns, found 30 columns",2014-sheet-0.csv,"ALABAMA, NORTHERN",2013-32,HOPKINS,BITKOWER,NARCOTICS,"WC,TX",D,41410.0,30,0,30,INSTALLED AND USED,29.0,17.0,48.0,504.0,21.0,26774.0,646.0,6.0,0.0,0.0,0.0,0.0,0.0,,,2013,32
11878,"Expected 28 columns, found 30 columns",2014-sheet-0.csv,"ALABAMA, NORTHERN",2013-33,KALLON,BITKOWER,NARCOTICS,WC,D,41429.0,30,1,60,INSTALLED AND USED,51.0,75.0,174.0,3810.0,228.0,64600.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2013-34,2013,33
11879,"Expected 28 columns, found 30 columns",2014-sheet-0.csv,"ALABAMA, NORTHERN",2013-34,KALLON,BLANCO,NARCOTICS,TX,D,41451.0,30,0,30,INSTALLED AND USED,30.0,127.0,174.0,3810.0,228.0,38510.0,1250.0,5.0,0.0,0.0,0.0,0.0,0.0,,,2013,34
11880,"Expected 28 columns, found 30 columns",2014-sheet-0.csv,"ALABAMA, NORTHERN",2013-35,BOWDRE,O'BRIEN,NARCOTICS,"TX,WC",D,41479.0,30,0,30,INSTALLED AND USED,30.0,126.0,215.0,3784.0,111.0,26450.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2013-25,2013,35
11881,"Expected 28 columns, found 30 columns",2014-sheet-0.csv,"ALABAMA, NORTHERN",2013-36,KALLON,BLANCO,NARCOTICS,"TX,WC",D,41501.0,30,0,30,INSTALLED AND USED,18.0,5.0,18.0,94.0,8.0,23606.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2013,36
11882,"Expected 28 columns, found 30 columns",2014-sheet-0.csv,"ALABAMA, NORTHERN",2013-37,KALLON,O'BRIEN,NARCOTICS,"TX,WC",D,41536.0,30,0,30,INSTALLED AND USED,13.0,33.0,52.0,434.0,28.0,32690.0,2750.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2013,37
11883,"Expected 28 columns, found 30 columns",2014-sheet-0.csv,"ALABAMA, NORTHERN",2014-1,PROCTOR,BITKOWER,NARCOTICS,"WC,TX",D,41816.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,1
