eventid,iyear,imonth,iday,country,country_txt,region_txt,provstate,city,latitude,longitude,summary,crit1,crit2,crit3,doubtterr,success,suicide,attacktype1_txt,attacktype2_txt,attacktype3_txt,targtype1_txt,targsubtype1_txt,natlty1_txt,gname,motive,nperps,nperpcap,claimed,weaptype1_txt,weaptype2_txt,weapdetail,nkill,nkillter,nwound,propextent_txt,nhostkid
-253372869,2016,10,9,217,United States,North America,Florida,Century,30.963733,-87.267362,"10/09/2016: Assailants set fire to Wesley Chapel Church in Century, Florida, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.",1,1,1,0.0,1.0,0.0,Facility/Infrastructure Attack,,,Religious Figures/Institutions,Place of Worship,United States,Unknown,,-99.0,0.0,0.0,Incendiary,,,0.0,0.0,0.0,Unknown,
-253332860,2016,10,13,217,United States,North America,Indiana,Indianapolis,39.826113,-86.227124,"10/13/2016: An assailant opened fire on the Indianapolis Metropolitan Police Department north district headquarters in Indianapolis, Indiana, United States. There were no reported casualties in the assault. Authorities arrested an anti-white extremist, identified as Damoine A. Wilcoxson, in connection with the attack. Sources indicated that a note left at the scene declared ""war on white people,"" and that Wilcoxson made statements online calling for ""social justice and retribution.""",1,1,1,0.0,1.0,0.0,Armed Assault,,,Police,"Police Building (headquarters, station, school)",United States,Anti-White extremists,"In a note left at the scene, Damoine A. Wilcoxson claimed responsibility for the incident and announced a ""war on white people.""",1.0,1.0,1.0,Firearms,,A semiautomatic assault rifle was used in the attack.,0.0,0.0,0.0,Minor (likely < $1 million),
-253312899,2016,10,15,217,United States,North America,Iowa,Reasnor,41.578663,-93.022688,"10/15/2016: Assailants set fire to construction equipment for the Dakota Access oil pipeline in Reasnor, Iowa, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.",1,1,1,0.0,1.0,0.0,Facility/Infrastructure Attack,,,Business,Gas/Oil/Electric,United States,Unknown,"The specific motive is unknown; however, sources noted that there was opposition to the Dakota Access Pipeline.",-99.0,0.0,0.0,Incendiary,,,0.0,0.0,0.0,Major (likely >= $1 million but < $1 billion),
-253302890,2016,10,16,217,United States,North America,North Carolina,Hillsborough,36.060668,-79.101578,"10/16/2016: Assailants threw a Molotov cocktail targeting a Republican Party (GOP) office in Hillsborough, North Carolina, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources noted that the assailants spray-painted ""Nazi Republicans leave town or else"" on the building.",1,1,1,0.0,1.0,0.0,Facility/Infrastructure Attack,,,Private Citizens & Property,Political Party Member/Rally,United States,Unknown,"The specific motive is unknown; however, sources noted that the assailants spray-painted ""Nazi Republicans leave town or else"" on the targeted office.",-99.0,0.0,0.0,Incendiary,,A firebomb was used in the attack.,0.0,0.0,0.0,Minor (likely < $1 million),
-252382853,2016,11,8,217,United States,North America,Iowa,Buena Vista County,42.670545,-95.143207,"11/08/2016: Assailant set fire to Dakota Access Pipeline equipment in Buena Vista County, Iowa, United States. There were no reported casualties in the attack. Two unaffiliated individuals, identified as Jessica Reznicek and Ruby Montoya, claimed responsibility for the incident.",1,1,1,0.0,1.0,0.0,Facility/Infrastructure Attack,,,Business,Construction,United States,Unknown,"An unaffiliated individual, identified as Jessica Reznicek, claimed responsibility for the incident and stated ""We are speaking publicly to empower others to act boldly, with purity of heart, to dismantle the infrastructures which deny us our rights to water, land and liberty.""",2.0,2.0,1.0,Incendiary,,,0.0,0.0,0.0,Minor (likely < $1 million),
-252232850,2016,11,23,217,United States,North America,New Mexico,Albuquerque,35.091952,-106.586558,"11/23/2016: Assailants set fire to a Project Defending Life office in Albuquerque, New Mexico, United States. No casualties were reported in the attack. No group claimed responsibility for the incident.",1,1,1,0.0,1.0,0.0,Facility/Infrastructure Attack,,,Business,Medical/Pharmaceutical,United States,Unknown,,-99.0,0.0,0.0,Incendiary,,,0.0,0.0,0.0,Minor (likely < $1 million),
-252212886,2016,11,25,217,United States,North America,Washington,Tacoma,47.154901,-122.368098,"11/25/2016: Assailants set fire to Our Savior Lutheran Church in Tacoma, Washington, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.",1,1,1,0.0,1.0,0.0,Facility/Infrastructure Attack,,,Religious Figures/Institutions,Place of Worship,United States,Unknown,,-99.0,0.0,0.0,Incendiary,,,0.0,0.0,0.0,Minor (likely < $1 million),
-252182911,2016,11,28,217,United States,North America,Ohio,Columbus,40.00329,-83.011421,"11/28/2016: An assailant rammed his vehicle into a group of students and stabbed bystanders at Ohio State University in Columbus, Ohio, United States. At least 11 people were injured before a nearby police officer shot and killed the assailant. The assailant, identified as Abdul Razak Ali Artan, wrote on his Facebook page prior to the attack, ""If you want us Muslims to stop carrying lone wolf attacks, then make peace with the Islamic State group."" The Islamic State of Iraq and the Levant (ISIL) also claimed responsibility for the incident; however, Artan's connection to ISIL could not be confirmed.",1,1,1,0.0,1.0,0.0,Armed Assault,,,Private Citizens & Property,Student,United States,Jihadi-inspired extremists,"An unaffiliated individual, identified as Abdul Razak Ali Artan, claimed responsibility for the incident and wrote on his Facebook page prior to the attack, ""If you want us Muslims to stop carrying lone wolf attacks, then make peace with the Islamic State group."" Sources also noted that Artan indicated that he felt uncomfortable when praying at Ohio State University.",1.0,0.0,1.0,Melee,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",A knife and a vehicle were used in the attack.,1.0,1.0,11.0,,
-251422865,2016,12,4,217,United States,North America,District of Columbia,Washington,38.908642,-77.015381,"12/04/2016: An assailant opened fire inside Comet Ping Pong restaurant in Washington, District of Columbia, United States. There were no reported casualties, and the assailant was arrested at the scene. The assailant, identified as Edgar M. Welch, stated that he targeted Comet Ping Pong because he suspected that the human trafficking of children was occurring at the restaurant.",1,1,1,0.0,0.0,0.0,Armed Assault,,,Business,Restaurant/Bar/Café,United States,Unknown,"An unaffiliated individual, identified as Edgar M. Welch, claimed responsibility for the incident and stated that he targeted Comet Ping Pong restaurant because he wanted to look into an inaccurate Internet article, which stated that human trafficking of children was occurring at the restaurant.",1.0,1.0,1.0,Firearms,Firearms,An AR-15 assault rifle and a Colt .38-caliber revolver were used in the attack.,0.0,0.0,0.0,Minor (likely < $1 million),
-251382874,2016,12,7,217,United States,North America,California,Redlands,34.053546,-117.181537,"12/07/2016: Assailants set fire to First Baptist Church in Redlands, California, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.",1,1,1,0.0,1.0,0.0,Facility/Infrastructure Attack,,,Religious Figures/Institutions,Place of Worship,United States,Unknown,,-99.0,0.0,0.0,Incendiary,,,0.0,0.0,0.0,Minor (likely < $1 million),
